	Brothers_LC_S014_vRhyme_bin_50.fasta	Brothers_NWCA_S013_vRhyme_bin_72.fasta	Brothers_NWCA_S013_vRhyme_bin_73.fasta	Brothers_NWCA_S017_vRhyme_bin_7.fasta	Brothers_NWCA_S142_NODE_117_length_40709_cov_5.629318.fasta	Brothers_NWCA_S143_vRhyme_bin_19.fasta	Brothers_NWCA_S143_vRhyme_bin_37.fasta	Brothers_NWCA_S143_vRhyme_bin_58.fasta	Brothers_NWCA_S144_NODE_135_length_39322_cov_2.066309.fasta	Brothers_NWCA_S145_NODE_188_length_40324_cov_38.245665_fragment_1.fasta	Brothers_NWCA_S145_vRhyme_bin_11.fasta	Brothers_NWCB_S012_vRhyme_bin_133.fasta	Brothers_NWCB_S012_vRhyme_bin_15.fasta	Brothers_NWCB_S012_vRhyme_bin_18.fasta	Brothers_NWCB_S012_vRhyme_bin_70.fasta	Brothers_NWCB_S139_NODE_159_length_73201_cov_2.097572_fragment_1.fasta	Brothers_NWCB_S139_vRhyme_bin_149.fasta	Brothers_NWCB_S141_NODE_609_length_38865_cov_4.884377.fasta	Brothers_NWCB_S141_vRhyme_bin_186.fasta	Brothers_NWCB_S141_vRhyme_bin_3.fasta	Brothers_NWCB_S141_vRhyme_bin_4.fasta	Brothers_NWCB_S141_vRhyme_bin_53.fasta	Brothers_NWCB_S141_vRhyme_bin_56.fasta	Brothers_NWCB_S141_vRhyme_bin_6.fasta	Brothers_NWCB_S141_vRhyme_bin_78.fasta	Brothers_NWCB_S141_vRhyme_bin_8.fasta	Brothers_NWCB_S146_vRhyme_bin_141.fasta	Brothers_NWCB_S146_vRhyme_bin_70.fasta	Brothers_UC_S010_NODE_3_length_117511_cov_3.387012_fragment_1.fasta	Brothers_UC_S010_vRhyme_bin_39.fasta	ELSC_Abe_A1_vRhyme_bin_106.fasta	ELSC_Abe_A1_vRhyme_bin_2.fasta	ELSC_Abe_A1_vRhyme_bin_91.fasta	ELSC_Abe_A3_NODE_349_length_34067_cov_2.628197.fasta	ELSC_Bowl_M1_vRhyme_bin_70.fasta	ELSC_Bowl_M2_NODE_903_length_34977_cov_5.977532.fasta	ELSC_Bowl_M2_vRhyme_bin_20.fasta	ELSC_Bowl_M2_vRhyme_bin_223.fasta	ELSC_Mariner_M10_NODE_111_length_73382_cov_2.502409_fragment_1.fasta	ELSC_Mariner_M10_NODE_387_length_35808_cov_3.858216.fasta	ELSC_Mariner_M10_NODE_523_length_30543_cov_5.466005.fasta	ELSC_Mariner_M10_NODE_584_length_28975_cov_117.435593.fasta	ELSC_Mariner_M10_NODE_75_length_84621_cov_10.694274_fragment_1.fasta	ELSC_Mariner_M10_vRhyme_bin_3.fasta	ELSC_Mariner_M10_vRhyme_bin_34.fasta	ELSC_Mariner_M10_vRhyme_bin_49.fasta	ELSC_Mariner_M10_vRhyme_bin_78.fasta	ELSC_Mariner_M10_vRhyme_bin_79.fasta	ELSC_Mariner_M17_NODE_42_length_107089_cov_3.294394_fragment_1.fasta	ELSC_Mariner_M17_NODE_602_length_38084_cov_4.339858.fasta	ELSC_Mariner_M17_NODE_620_length_37589_cov_6.832791.fasta	ELSC_Mariner_M17_vRhyme_bin_116.fasta	ELSC_Mariner_M17_vRhyme_bin_119.fasta	ELSC_Mariner_M17_vRhyme_bin_12.fasta	ELSC_Mariner_M17_vRhyme_bin_197.fasta	ELSC_Mariner_M17_vRhyme_bin_217.fasta	ELSC_Mariner_M17_vRhyme_bin_28.fasta	ELSC_Tui_Malila_132.544_vRhyme_bin_38.fasta	ELSC_Tui_Malila_134.614_vRhyme_bin_16.fasta	ELSC_Tui_Malila_134.614_vRhyme_bin_31.fasta	ELSC_Tui_Malila_T10_NODE_33_length_85711_cov_35.971992_fragment_2.fasta	ELSC_Tui_Malila_T10_vRhyme_bin_1.fasta	ELSC_Tui_Malila_T10_vRhyme_bin_40.fasta	ELSC_Tui_Malila_T10_vRhyme_bin_68.fasta	ELSC_Tui_Malila_T11_NODE_186_length_45037_cov_7.500156.fasta	ELSC_Tui_Malila_T11_vRhyme_bin_81.fasta	ELSC_Tui_Malila_T2_vRhyme_bin_140.fasta	ELSC_Tui_Malila_T2_vRhyme_bin_28.fasta	Guaymas_4559.240_vRhyme_bin_35.fasta	Guaymas_4559.240_vRhyme_bin_48.fasta	Guaymas_4559.240_vRhyme_bin_8.fasta	Guaymas_4561.380_vRhyme_bin_19.fasta	Guaymas_4561.380_vRhyme_bin_32.fasta	Guaymas_4561.384_vRhyme_bin_130.fasta	Guaymas_4561.384_vRhyme_bin_76.fasta	Guaymas_4561.384_vRhyme_bin_77.fasta	Guaymas_4571.419_vRhyme_bin_1.fasta	Guaymas_4571.419_vRhyme_bin_4.fasta	Lau_Basin_Abe_vRhyme_bin_98.fasta	Lau_Basin_Kilo_Moana_vRhyme_bin_48.fasta
Brothers_NWCB_S012_vRhyme_bin_70.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	97.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brothers_NWCB_S139_NODE_159_length_73201_cov_2.097572_fragment_1.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brothers_NWCB_S139_vRhyme_bin_149.fasta	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brothers_NWCB_S141_NODE_609_length_38865_cov_4.884377.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brothers_NWCB_S141_vRhyme_bin_186.fasta	0	0	0	0	0	0	0	0	98.98	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	97.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brothers_NWCB_S141_vRhyme_bin_3.fasta	0	0	0	0	0	0	0	94.08	0	0	0	0	0	0	0	0	0	0	0	100	94.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brothers_NWCB_S141_vRhyme_bin_4.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.39	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brothers_NWCB_S141_vRhyme_bin_53.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brothers_NWCB_S141_vRhyme_bin_56.fasta	0	0	0	0	0	99.73	95.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brothers_NWCB_S141_vRhyme_bin_6.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.39	0	0	0	0	0	0	0	0	100	0	90.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brothers_NWCB_S141_vRhyme_bin_78.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brothers_NWCB_S141_vRhyme_bin_8.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.15	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brothers_NWCB_S146_vRhyme_bin_141.fasta	0	0	0	0	0	0	0	0	96.09	0	0	0	0	0	0	0	0	0	97.22	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brothers_NWCB_S146_vRhyme_bin_70.fasta	0	95.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brothers_UC_S010_NODE_3_length_117511_cov_3.387012_fragment_1.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brothers_UC_S010_vRhyme_bin_39.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELSC_Abe_A1_vRhyme_bin_106.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.72	0	0	0	0	0	0	0	0	0	0	0	0
ELSC_Abe_A1_vRhyme_bin_2.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	89.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELSC_Abe_A1_vRhyme_bin_91.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELSC_Abe_A3_NODE_349_length_34067_cov_2.628197.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELSC_Bowl_M1_vRhyme_bin_70.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	98.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELSC_Bowl_M2_NODE_903_length_34977_cov_5.977532.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	98.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELSC_Bowl_M2_vRhyme_bin_20.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	92.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELSC_Bowl_M2_vRhyme_bin_223.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELSC_Mariner_M10_NODE_111_length_73382_cov_2.502409_fragment_1.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELSC_Mariner_M10_NODE_387_length_35808_cov_3.858216.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	84.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELSC_Mariner_M10_NODE_523_length_30543_cov_5.466005.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.24	98.15	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELSC_Mariner_M10_NODE_584_length_28975_cov_117.435593.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89.26	0	0	0	0	0	0	0	0	0	100	0	95.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELSC_Mariner_M10_NODE_75_length_84621_cov_10.694274_fragment_1.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELSC_Mariner_M10_vRhyme_bin_3.fasta	0	0	0	87.28	0	0	0	0	0	85.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.28	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.74	0	0	0	0	0	0	0	0	0	0	0	0	0
ELSC_Mariner_M10_vRhyme_bin_34.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.73	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELSC_Mariner_M10_vRhyme_bin_49.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	94.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELSC_Mariner_M10_vRhyme_bin_78.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	95.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
