id	Site	Viral Taxonomy
2	Brothers_NWCB_S140_NODE_43973_length_3123_cov_2.033378	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
2	Brothers_NWCB_S141_NODE_22918_length_4534_cov_4.469934	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
2	Brothers_NWCB_S141_NODE_3852_length_14118_cov_14.602673	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
2	Brothers_NWCB_S141_NODE_76114_length_1906_cov_2.579539	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
2	Brothers_NWCB_S146_NODE_127722_length_1842_cov_4.980758	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
2	Brothers_NWCB_S146_NODE_27680_length_4235_cov_2.580331	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
2	ELSC_Bowl_M2_NODE_236877_length_1413_cov_6.569984	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
2	ELSC_Mariner_131-447_scaffold_21546_c1	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
2	ELSC_Tui_Malila_134-614_scaffold_36209_c1	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
2	Brothers_NWCA_S143_vRhyme_bin_102	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
2	MAR_Lucky_356-308_vRhyme_bin_21	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
3	Cayman_Deep_k95_329100_flag=3_multi=740.0000_len=5481	r__Monodnaviria;k__Sangervirae;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__;s__
3	Cayman_Shallow_k95_556392_flag=3_multi=763.1417_len=5481	r__Monodnaviria;k__Sangervirae;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__;s__
3	ELSC_Abe_A1_NODE_14649_length_5513_cov_85.977163	r__Monodnaviria;k__Sangervirae;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__;s__
3	ELSC_Abe_A3_NODE_22123_length_5513_cov_37.688452	r__Monodnaviria;k__Sangervirae;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__;s__
3	ELSC_Bowl_M1_NODE_4552_length_5513_cov_398.155589	r__Monodnaviria;k__Sangervirae;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__;s__
3	ELSC_Bowl_M2_NODE_26941_length_5513_cov_204.284070	r__Monodnaviria;k__Sangervirae;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__;s__
3	ELSC_Mariner_M10_NODE_9821_length_5513_cov_36.731526	r__Monodnaviria;k__Sangervirae;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__;s__
3	ELSC_Mariner_M17_NODE_20378_length_5513_cov_309.771259	r__Monodnaviria;k__Sangervirae;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__;s__
3	ELSC_Tui_Malila_T10_NODE_9861_length_5513_cov_130.186966	r__Monodnaviria;k__Sangervirae;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__;s__
3	ELSC_Tui_Malila_T11_NODE_11702_length_5513_cov_423.693093	r__Monodnaviria;k__Sangervirae;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__;s__
3	ELSC_Tui_Malila_T2_NODE_29080_length_5513_cov_220.766803	r__Monodnaviria;k__Sangervirae;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__;s__
3	ELSC_Vai_Lili_V2_NODE_3240_length_5513_cov_24.324359	r__Monodnaviria;k__Sangervirae;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__;s__
3	Guaymas_Basin_k95_702414_flag=3_multi=156.0000_len=5481	r__Monodnaviria;k__Sangervirae;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__;s__
3	Lau_Basin_Abe_k95_1566522_flag=3_multi=441.0000_len=5481	r__Monodnaviria;k__Sangervirae;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__;s__
3	Lau_Basin_Kilo_Moana_k95_205532_flag=3_multi=561.0000_len=5481	r__Monodnaviria;k__Sangervirae;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__;s__
3	Lau_Basin_Mariner_k95_379953_flag=3_multi=286.0000_len=5481	r__Monodnaviria;k__Sangervirae;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__;s__
3	Lau_Basin_Tahi_Moana_k95_522185_flag=3_multi=299.0000_len=5481	r__Monodnaviria;k__Sangervirae;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__;s__
3	Lau_Basin_Tui_Malila_k95_411308_flag=3_multi=152.0000_len=5481	r__Monodnaviria;k__Sangervirae;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__;s__
4	Brothers_NWCA_S144_NODE_114_length_41746_cov_6.706985	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
4	Brothers_NWCB_S012_NODE_10322_length_6157_cov_11.018740	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
4	Brothers_NWCB_S012_NODE_13661_length_5242_cov_5.110850	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
4	Brothers_NWCB_S012_NODE_15153_length_4921_cov_11.385899	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
4	Brothers_NWCB_S139_NODE_19978_length_5878_cov_4.648409	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
4	Brothers_NWCB_S139_NODE_20778_length_5742_cov_4.881211	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
4	Brothers_NWCB_S139_NODE_31260_length_4523_cov_2.642857	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
4	Brothers_NWCB_S139_NODE_32155_length_4451_cov_1.962303	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
4	Brothers_NWCB_S139_NODE_4195_length_13821_cov_4.520155	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
4	Brothers_NWCB_S140_NODE_1314_length_13902_cov_2.628530	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
4	Brothers_NWCB_S140_NODE_1503_length_13201_cov_2.738642	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
4	Brothers_NWCB_S141_NODE_503_length_41948_cov_5.117142	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
4	Brothers_NWCB_S146_vRhyme_bin_102	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
4	ELSC_Tui_Malila_T2_vRhyme_bin_143	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
4	Brothers_NWCB_S146_vRhyme_bin_207	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
4	Brothers_NWCB_S146_vRhyme_bin_58	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
4	ELSC_Abe_128-326_vRhyme_bin_69	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
5	Brothers_NWCB_S012_NODE_20435_length_4135_cov_22.455589	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
5	Brothers_NWCB_S012_NODE_23736_length_3790_cov_17.073437	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
5	Brothers_NWCB_S012_NODE_25420_length_3634_cov_15.647277	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
5	Brothers_NWCB_S012_NODE_35405_length_2979_cov_5.980365	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
5	Brothers_NWCB_S012_NODE_41632_length_2703_cov_14.616071	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
5	Brothers_NWCB_S139_NODE_13693_length_7266_cov_2.315871	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
5	Brothers_NWCB_S139_NODE_27850_length_4853_cov_10.415785	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
5	Brothers_NWCB_S139_NODE_42172_length_3769_cov_6.642779	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
5	Brothers_NWCB_S141_NODE_15115_length_5978_cov_145.030593	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
5	Brothers_NWCB_S141_NODE_53234_length_2505_cov_3.013877	#N/A
5	Brothers_NWCB_S141_NODE_53351_length_2501_cov_70.940607	#N/A
5	Brothers_NWCB_S146_NODE_1023_length_18537_cov_71.045899	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
5	Brothers_NWCB_S140_vRhyme_bin_154	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
5	Brothers_NWCB_S139_vRhyme_bin_223	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
5	Brothers_NWCA_S144_vRhyme_bin_51	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
5	Brothers_NWCA_S144_vRhyme_bin_52	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
5	Brothers_NWCB_S146_vRhyme_bin_93	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
6	Brothers_NWCA_S143_NODE_115530_length_1625_cov_9.799065	r__Varidnaviria;k__Helvetiavirae;p__Dividoviricota;c__Laserviricetes;o__Halopanivirales;f__Sphaerolipoviridae;g__;s__
6	Brothers_NWCA_S144_NODE_26710_length_3719_cov_4.011136	r__Varidnaviria;k__Helvetiavirae;p__Dividoviricota;c__Laserviricetes;o__Halopanivirales;f__Sphaerolipoviridae;g__;s__
6	Brothers_NWCB_S140_NODE_113184_length_1836_cov_0.604447	r__Varidnaviria;k__Helvetiavirae;p__Dividoviricota;c__Laserviricetes;o__Halopanivirales;f__;g__;s__
6	Brothers_NWCB_S140_NODE_20878_length_4529_cov_1.921399	r__Varidnaviria;k__Helvetiavirae;p__Dividoviricota;c__Laserviricetes;o__Halopanivirales;f__Sphaerolipoviridae;g__;s__
6	Brothers_NWCB_S140_NODE_83957_length_2188_cov_1.202814	r__Varidnaviria;k__Helvetiavirae;p__Dividoviricota;c__Laserviricetes;o__Halopanivirales;f__;g__;s__
6	Brothers_NWCB_S141_NODE_32644_length_3545_cov_4.866004	r__Varidnaviria;k__Helvetiavirae;p__Dividoviricota;c__Laserviricetes;o__Halopanivirales;f__Sphaerolipoviridae;g__;s__
6	Brothers_NWCB_S146_NODE_15737_length_5599_cov_2.922697	r__Varidnaviria;k__Helvetiavirae;p__Dividoviricota;c__Laserviricetes;o__Halopanivirales;f__Sphaerolipoviridae;g__;s__
6	Brothers_NWCB_S146_NODE_45951_length_3246_cov_1.996794	r__Varidnaviria;k__Helvetiavirae;p__Dividoviricota;c__Laserviricetes;o__Halopanivirales;f__;g__;s__
6	ELSC_Abe_A1_NODE_171224_length_1643_cov_1.353562	r__Varidnaviria;k__Helvetiavirae;p__Dividoviricota;c__Laserviricetes;o__Halopanivirales;f__Sphaerolipoviridae;g__;s__
6	ELSC_Abe_A3_NODE_47030_length_3825_cov_3.331260	r__Varidnaviria;k__Helvetiavirae;p__Dividoviricota;c__Laserviricetes;o__Halopanivirales;f__;g__;s__
6	ELSC_Abe_A3_NODE_52031_length_3637_cov_7.666382	r__Varidnaviria;k__Helvetiavirae;p__Dividoviricota;c__Laserviricetes;o__Halopanivirales;f__Sphaerolipoviridae;g__;s__
6	ELSC_Abe_A3_NODE_76800_length_2990_cov_8.465945	r__Varidnaviria;k__Helvetiavirae;p__Dividoviricota;c__Laserviricetes;o__Halopanivirales;f__;g__;s__
6	ELSC_Mariner_M17_NODE_10657_length_8184_cov_49.548591	r__Varidnaviria;k__Helvetiavirae;p__Dividoviricota;c__Laserviricetes;o__Halopanivirales;f__Sphaerolipoviridae;g__;s__
6	ELSC_Tui_Malila_T2_NODE_81390_length_3208_cov_1.545602	r__Varidnaviria;k__Helvetiavirae;p__Dividoviricota;c__Laserviricetes;o__Halopanivirales;f__;g__;s__
6	ELSC_Tui_Malila_134-614_vRhyme_bin_33	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
7	Brothers_NWCB_S141_NODE_23647_length_4434_cov_1.018342	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
7	Brothers_NWCB_S141_NODE_43664_length_2894_cov_0.913986	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
7	ELSC_Bowl_M1_NODE_232_length_36963_cov_6.000597	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
7	ELSC_Bowl_M2_NODE_17541_length_7100_cov_3.407572	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
7	ELSC_Bowl_M2_NODE_3610_length_17195_cov_2.798277	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
7	ELSC_Tui_Malila_132-544_scaffold_1232_c1	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
7	ELSC_Tui_Malila_134-614_scaffold_42041_c1	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
7	ELSC_Tui_Malila_T10_NODE_12204_length_4939_cov_4.045511	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
7	ELSC_Tui_Malila_T10_NODE_34556_length_2852_cov_4.476697	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
7	ELSC_Abe_A1_vRhyme_bin_186	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
7	ELSC_Bowl_M2_vRhyme_bin_330	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
7	Brothers_NWCA_S143_vRhyme_bin_39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
7	ELSC_Tui_Malila_134-614_vRhyme_bin_7	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
8	Brothers_NWCB_S012_NODE_12759_length_5454_cov_1.282523	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
8	Brothers_NWCB_S012_NODE_1764_length_17095_cov_2.478607	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
8	Brothers_NWCB_S012_NODE_31904_length_3174_cov_1.112242	r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Imitervirales;f__;g__;s__
8	Brothers_NWCB_S012_NODE_62900_length_2089_cov_1.593782	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
8	Brothers_NWCB_S012_NODE_67312_length_2000_cov_1.505606	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
8	Brothers_NWCB_S139_NODE_135907_length_1726_cov_10.631645	#N/A
8	Brothers_NWCB_S139_NODE_16699_length_6518_cov_16.398529	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
8	Brothers_NWCB_S139_NODE_5500_length_11977_cov_17.425063	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
8	Brothers_NWCB_S141_NODE_26_length_153974_cov_6.191651	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
8	Brothers_NWCB_S146_NODE_24063_length_4544_cov_1.139914	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
8	Brothers_NWCB_S146_NODE_81491_length_2375_cov_1.729982	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
8	Brothers_NWCB_S139_vRhyme_bin_108	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
8	Brothers_NWCB_S139_vRhyme_bin_254	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
9	ELSC_Mariner_M10_NODE_22644_length_3211_cov_1.471466	#N/A
9	ELSC_Mariner_M10_NODE_49713_length_1845_cov_1.951688	r__Varidnaviria;k__Helvetiavirae;p__Dividoviricota;c__Laserviricetes;o__Halopanivirales;f__;g__;s__
9	ELSC_Mariner_M10_NODE_8500_length_6050_cov_1.498903	r__Varidnaviria;k__Helvetiavirae;p__Dividoviricota;c__Laserviricetes;o__Halopanivirales;f__Sphaerolipoviridae;g__;s__
9	ELSC_Tui_Malila_132-544_scaffold_21491_c1	#N/A
9	ELSC_Tui_Malila_134-614_scaffold_7684_c1	r__Varidnaviria;k__Helvetiavirae;p__Dividoviricota;c__Laserviricetes;o__Halopanivirales;f__Sphaerolipoviridae;g__;s__
9	ELSC_Tui_Malila_T10_NODE_786_length_19112_cov_11.796524	r__Varidnaviria;k__Helvetiavirae;p__Dividoviricota;c__Laserviricetes;o__Halopanivirales;f__Sphaerolipoviridae;g__;s__
9	ELSC_Tui_Malila_T11_NODE_142636_length_1624_cov_2.045424	#N/A
9	ELSC_Tui_Malila_T11_NODE_45779_length_2836_cov_3.903285	#N/A
9	ELSC_Tui_Malila_T11_NODE_53328_length_2637_cov_2.935458	r__Varidnaviria;k__Helvetiavirae;p__Dividoviricota;c__Laserviricetes;o__Halopanivirales;f__;g__;s__
9	ELSC_Abe_A1_vRhyme_bin_101	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
9	ELSC_Tui_Malila_T11_vRhyme_bin_119	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
9	Brothers_NWCA_S143_vRhyme_bin_50	r__Varidnaviria;k__Helvetiavirae;p__Dividoviricota;c__Laserviricetes;o__Halopanivirales;f__Sphaerolipoviridae;g__;s__
10	ELSC_Mariner_131-447_scaffold_4883_c1	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
10	ELSC_Mariner_131-447_vRhyme_bin_107	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
10	ELSC_Bowl_M1_vRhyme_bin_16	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
10	ELSC_Bowl_M1_vRhyme_bin_33	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
10	ELSC_Bowl_M1_vRhyme_bin_40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
10	ELSC_Mariner_M10_vRhyme_bin_45	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
10	ELSC_Mariner_M10_vRhyme_bin_48	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
10	ELSC_Mariner_131-447_vRhyme_bin_51	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
10	ELSC_Bowl_M1_vRhyme_bin_72	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
10	ELSC_Bowl_M2_vRhyme_bin_7	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
10	ELSC_Bowl_M1_vRhyme_bin_81	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
11	Brothers_NWCB_S139_NODE_4178_length_13851_cov_3.804066	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
11	Brothers_NWCB_S146_NODE_138586_length_1758_cov_1.196199	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
11	Brothers_NWCB_S146_NODE_30623_length_4018_cov_1.974300	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
