Host.genus	Virus	KB	contig_length	checkv_quality	provirus	gene_count	viral_genes	completeness	contamination	warnings	AAI.to.closest.RaFAH.reference	Confidence.score	List.of.methods
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__	Brothers_NWCB_S141_vRhyme_bin_113	50152	54652	Low-quality	No	71	2	34.85	0		1.71	91.4	blast;93.70 iPHoP-RF;67.00
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__	Brothers_NWCB_S141_vRhyme_bin_147	10227	11727	Medium-quality	No	18	1	64.36	0		1.97	95.3	blast;96.70 iPHoP-RF;74.10
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__	ELSC_Abe_A1_vRhyme_bin_141	26586	29586	Low-quality	No	38	1	40.25	0		3.06	95.2	blast;96.60 iPHoP-RF;74.10
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__	ELSC_Bowl_M2_vRhyme_bin_132	24744	27744	Medium-quality	No	39	5	67.75	0		4.19	90.6	blast;93.00
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__	Brothers_NWCB_S012_NODE_225_length_51237_cov_8.251379	51237	51237	High-quality	No	76	24	94.16	0		9.47	98.5	CRISPR;98.90
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__	Brothers_NWCB_S141_NODE_346_length_51749_cov_13.259463	51749	51749	Low-quality	No	68	4	48.34	0		2.66	99.1	CRISPR;99.30 iPHoP-RF;90.50
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__	Brothers_NWCB_S141_NODE_3_length_344077_cov_41.072249_fragment_4	21884	21884	Medium-quality	No	40	1	57.52	0		23.79	91.6	blast;93.90 iPHoP-RF;75.40
d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia;o__Hydrothermarchaeales;f__BMS3B;g__JAADFX01	Brothers_NWCB_S141_vRhyme_bin_152	55526	64526	Medium-quality	No	87	13	68.06	0		6.71	90.3	blast;92.80 iPHoP-RF;70.60
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__;g__	ELSC_Abe_A1_vRhyme_bin_46	68571	71571	Low-quality	No	109	2	33.14	0		3.33	97.6	CRISPR;98.30 iPHoP-RF;94.70 blast;92.30
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__;g__	ELSC_Abe_A1_vRhyme_bin_95	36792	38292	High-quality	No	57	16	96.73	0		16.18	98.1	CRISPR;98.60
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__;g__	ELSC_Tui_Malila_T2_vRhyme_bin_133	72075	73575	Medium-quality	No	115	8	61.38	0		4.57	98.5	CRISPR;98.90
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__;g__	ELSC_Abe_A1_NODE_33_length_71072_cov_4.195870	71072	71072	Low-quality	No	109	7	46.61	0		4.81	98.5	CRISPR;98.90
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__;g__	ELSC_Abe_A1_NODE_2471_length_12254_cov_2.586542	12254	12254	Low-quality	No	23	1	16.67	0		4.13	93.6	blast;95.50 iPHoP-RF;76.10
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__;g__	ELSC_Mariner_131-447_scaffold_148_c1	93163	93163	Medium-quality	No	106	23	84.55	0		27.6	91	blast;93.40 iPHoP-RF;60.30
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__;g__	ELSC_Tui_Malila_T10_NODE_49_length_69781_cov_7.736900	69781	69781	Medium-quality	No	112	7	65.28	0		4.48	98.5	CRISPR;98.90
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__;g__	ELSC_Tui_Malila_T10_NODE_3742_length_8947_cov_14.742404	8947	8947	Low-quality	No	14	1	12.17	0		NA	92.5	blast;94.60 iPHoP-RF;75.20
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__;g__	ELSC_Tui_Malila_T11_NODE_4672_length_8789_cov_2.725468	8789	8789	Low-quality	No	14	1	11.96	0		NA	92.5	blast;94.60 iPHoP-RF;80.00
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__;g__	ELSC_Tui_Malila_T2_NODE_751_length_36690_cov_1.910976	36690	36690	High-quality	No	59	19	91.1	0		16.03	97.5	CRISPR;98.20
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Fervidicoccaceae;g__	Brothers_NWCB_S141_vRhyme_bin_71	11323	12823	Low-quality	No	16	3	6.3	0		10.15	90.8	blast;93.20
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Fervidicoccaceae;g__	Brothers_NWCB_S146_NODE_17490_length_5322_cov_2.206930	5322	5322	Low-quality	No	7	2	5.54	0		11.16	91.1	blast;93.50 iPHoP-RF;65.60
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__AG1;g__	Brothers_NWCB_S012_vRhyme_bin_186	72371	73871	Medium-quality	No	80	17	54.01	0	low-confidence DTR	9.61	98.4	CRISPR;98.80
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	Brothers_NWCA_S013_vRhyme_bin_69	30046	31546	Low-quality	No	55	2	23.75	0		4.48	98.7	CRISPR;99.00
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	Brothers_NWCA_S013_vRhyme_bin_87	11916	14916	Low-quality	No	18	1	8.87	0		5.94	92.7	blast;94.80 iPHoP-RF;83.90 CRISPR;82.00
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	Brothers_NWCA_S143_vRhyme_bin_75	53237	56237	Medium-quality	No	65	2	50.94	0		2.71	95.6	CRISPR;96.90 iPHoP-RF;96.70 blast;93.10
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	Brothers_NWCA_S144_vRhyme_bin_30	38760	41760	Low-quality	No	57	9	40.17	0		9.38	90.3	blast;92.80 iPHoP-RF;87.30
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	Brothers_NWCA_S144_vRhyme_bin_38	30067	31567	Medium-quality	No	61	1	75.11	0		1.38	98.7	CRISPR;99.00
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	Brothers_NWCA_S144_vRhyme_bin_54	12164	16664	Low-quality	No	26	4	10.94	0		3.96	90.6	blast;93.00 iPHoP-RF;67.30
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	ELSC_Mariner_M10_vRhyme_bin_111	38715	40215	Low-quality	No	66	2	30.28	0		5.07	99.6	CRISPR;99.60 iPHoP-RF;57.30
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	ELSC_Mariner_M10_vRhyme_bin_17	347594	436094	High-quality	No	447	115	98.26	0		19.5	98.2	CRISPR;98.70
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	ELSC_Mariner_M10_vRhyme_bin_27	24180	28680	Low-quality	No	36	6	44.02	0		4.32	99.3	CRISPR;99.40 iPHoP-RF;60.60
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	ELSC_Mariner_M10_vRhyme_bin_34	53343	57843	High-quality	No	91	34	100	0		11.96	98.5	CRISPR;98.90
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	ELSC_Mariner_M10_vRhyme_bin_56	11882	13382	Low-quality	No	18	1	16.67	0		2.48	99.4	CRISPR;99.50 iPHoP-RF;62.50
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	ELSC_Mariner_M10_vRhyme_bin_78	15658	20158	Medium-quality	No	28	2	57.85	0		7.01	99.7	CRISPR;99.70 iPHoP-RF;61.40
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	ELSC_Mariner_M10_vRhyme_bin_79	25558	28558	Medium-quality	No	46	4	81.95	0		4.77	99.7	CRISPR;99.70 iPHoP-RF;50.90
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	ELSC_Mariner_M10_vRhyme_bin_85	14179	15679	Low-quality	No	22	1	19.53	0		1.66	99.7	CRISPR;99.70 iPHoP-RF;63.30
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	ELSC_Mariner_M10_vRhyme_bin_97	33100	37600	Low-quality	No	54	1	48.89	0		4.57	98.1	CRISPR;98.60
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	ELSC_Mariner_M17_vRhyme_bin_178	28768	30268	Low-quality	No	58	3	34.62	0		1.52	93.9	iPHoP-RF;95.70
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	ELSC_Mariner_M17_vRhyme_bin_255	24755	26255	Low-quality	No	44	2	35.56	0		3.05	90.3	blast;92.80 iPHoP-RF;73.00
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	ELSC_Mariner_M17_vRhyme_bin_27	38065	41065	Medium-quality	No	54	10	51.06	0		6.06	96.9	CRISPR;97.80 iPHoP-RF;75.20
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	Guaymas_4559-240_vRhyme_bin_84	27692	29192	Low-quality	No	42	9	42.9	0		10.07	93.8	CRISPR;95.60 iPHoP-RF;72.80
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	MAR_Lucky_356-284_vRhyme_bin_46	51194	64694	Medium-quality	Yes	80	5	80.7	11.78		10.2	90.1	blast;92.60 CRISPR;80.20 iPHoP-RF;75.90
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	Brothers_NWCA_S013_NODE_2345_length_7981_cov_2.322511	7981	7981	Low-quality	No	17	3	6.11	0		2.67	97	CRISPR;97.90 iPHoP-RF;64.30
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	Brothers_NWCA_S013_NODE_735_length_15663_cov_19.996202	15663	15663	Low-quality	No	21	2	14.09	0		2.12	98.1	CRISPR;98.60
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	Brothers_NWCA_S143_NODE_846_length_24402_cov_2.818455	24402	24402	Low-quality	No	52	3	18.66	0		1.27	97.8	CRISPR;98.40
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	Brothers_NWCA_S144_NODE_1342_length_15191_cov_25.660980	15191	15191	Low-quality	No	32	3	11.62	0		1.43	98.1	CRISPR;98.60
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	Brothers_NWCA_S144_NODE_658_length_21096_cov_14.171444	21096	21096	Low-quality	No	30	1	26.28	0		1.49	98.4	CRISPR;98.80 blast;92.50 iPHoP-RF;62.70
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	Brothers_NWCA_S144_NODE_10581_length_5952_cov_39.204120	5952	5952	Low-quality	No	15	1	9	0		3.3	97.8	CRISPR;98.40
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	Brothers_NWCA_S144_NODE_158_length_37333_cov_13.791243	37333	37333	Low-quality	No	67	2	28.11	0		4.48	98.7	CRISPR;99.00
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	ELSC_Mariner_M10_NODE_784_length_24455_cov_12.574605	24455	24455	Low-quality	No	53	3	18.71	0		1.31	98.4	CRISPR;98.80
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	ELSC_Mariner_M17_NODE_12577_length_7388_cov_2.047101	7388	7388	Low-quality	No	25	2	5.38	0		2	92.2	iPHoP-RF;94.40
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	ELSC_Mariner_M17_NODE_8715_length_9191_cov_66.320388	9191	9191	Low-quality	No	14	2	19.17	0		5.14	99.6	CRISPR;99.60 iPHoP-RF;78.30
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	ELSC_Mariner_M17_NODE_564_length_38956_cov_79.413377	38956	38956	Low-quality	No	66	2	29.33	0		5.07	99.6	CRISPR;99.60 iPHoP-RF;81.60
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	ELSC_Tui_Malila_134-614_scaffold_302_c1	31204	31204	Medium-quality	No	58	1	79.88	0		2.59	93.5	iPHoP-RF;95.40 blast;92.80
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	ELSC_Tui_Malila_T2_NODE_587_length_41542_cov_2.704721_fragment_1	12322	12322	Low-quality	No	25	1	2.25	0		1.44	92.6	iPHoP-RF;94.70 blast;93.90 CRISPR;57.60
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	Guaymas_4559-240_scaffold_858_c1	26886	26886	Low-quality	No	43	1	18.95	0	low-confidence DTR	23.48	95.9	CRISPR;97.10 iPHoP-RF;96.10 blast;93.70
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	Guaymas_4561-380_scaffold_744_c1	16699	16699	Low-quality	No	25	1	1.4	0		48.01	91	iPHoP-RF;93.40 CRISPR;74.90
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	Guaymas_4571-419_scaffold_874_c1	16150	16150	Low-quality	No	27	1	31.61	0	low-confidence DTR	1.68	92.2	iPHoP-RF;94.40 CRISPR;70.10
d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	Guaymas_4571-419_scaffold_1751_c1	9804	9804	Low-quality	No	12	1	0.82	0		45.77	95.9	iPHoP-RF;97.10 CRISPR;68.10
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Aciduliprofundales;f__Aciduliprofundaceae;g__Aciduliprofundum	Brothers_LC_S016_vRhyme_bin_171	11547	13047	Low-quality	No	16	4	8.29	0		1.66	90.4	blast;92.90
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Aciduliprofundales;f__Aciduliprofundaceae;g__Aciduliprofundum	ELSC_Mariner_M10_vRhyme_bin_10	51632	62132	Medium-quality	No	97	6	53.41	0		10.38	91.5	blast;93.80
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Aciduliprofundales;f__Aciduliprofundaceae;g__Aciduliprofundum	ELSC_Mariner_M10_vRhyme_bin_30	76860	84360	High-quality	No	85	18	94.47	0		10.97	91.6	blast;93.90
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Aciduliprofundales;f__Aciduliprofundaceae;g__Aciduliprofundum	ELSC_Mariner_M10_NODE_5769_length_7654_cov_3.411718	7654	7654	Low-quality	No	12	1	6.01	0		3.39	91	blast;93.40 iPHoP-RF;83.60
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__	ELSC_Abe_A1_vRhyme_bin_45	68669	71669	Medium-quality	No	108	12	87.31	0		5.83	99.6	CRISPR;99.60
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__	ELSC_Mariner_M17_vRhyme_bin_255	24755	26255	Low-quality	No	44	2	35.56	0		3.05	93.4	CRISPR;95.30 iPHoP-RF;82.20
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__	MAR_Lucky_356-284_vRhyme_bin_62	26827	28327	Low-quality	No	45	1	47.19	0		2.54	91.6	blast;93.90 iPHoP-RF;62.50
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__	Brothers_NWCA_S143_NODE_10637_length_6551_cov_1.481476	6551	6551	Low-quality	No	8	2	7.1	0		5.11	95.3	iPHoP-RF;96.70
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__	Brothers_NWCA_S143_NODE_8909_length_7201_cov_4.790783	7201	7201	Low-quality	No	9	1	5.08	0		4.67	91.4	blast;93.70 iPHoP-RF;80.80
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__	ELSC_Tui_Malila_T11_NODE_186_length_45037_cov_7.500156	45037	45037	Medium-quality	No	68	17	64.11	0	low-confidence DTR	10.19	93.1	CRISPR;95.10
d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus_C	Brothers_NWCA_S144_NODE_10581_length_5952_cov_39.204120	5952	5952	Low-quality	No	15	1	9	0		3.3	98.5	CRISPR;98.90 iPHoP-RF;65.10
d__Archaea;p__EX4484-52;c__EX4484-52;o__EX4484-52;f__;g__	ELSC_Mariner_M10_vRhyme_bin_30	76860	84360	High-quality	No	85	18	94.47	0		10.97	93.1	CRISPR;95.10 iPHoP-RF;51.20
d__Archaea;p__EX4484-52;c__EX4484-52;o__EX4484-52;f__;g__	ELSC_Mariner_M17_vRhyme_bin_5	82843	102343	High-quality	Yes	89	25	100	11.85	contig >1.5x longer than expected genome length	15.49	91.6	blast;93.90 iPHoP-RF;89.50
d__Archaea;p__EX4484-52;c__EX4484-52;o__EX4484-52;f__;g__	Brothers_NWCB_S012_NODE_383_length_40053_cov_5.175925	40053	40053	Low-quality	No	61	8	32.06	0		3.91	95	CRISPR;96.50
d__Archaea;p__Aenigmatarchaeota_A;c__Aenigmatarchaeia_A;o__GW2011-AR5;f__;g__	Brothers_LC_S014_vRhyme_bin_2	34782	37782	Low-quality	No	43	8	42.62	0		1.84	90.8	blast;93.20 iPHoP-RF;79.50
d__Archaea;p__Aenigmatarchaeota_A;c__Aenigmatarchaeia_A;o__GW2011-AR5;f__;g__	Brothers_LC_S014_vRhyme_bin_6	35464	41464	Medium-quality	No	57	15	55.09	0		7.64	91.5	blast;93.80 iPHoP-RF;73.50
d__Archaea;p__Aenigmatarchaeota_A;c__Aenigmatarchaeia_A;o__GW2011-AR5;f__;g__	ELSC_Bowl_M2_vRhyme_bin_85	7053	8553	Low-quality	No	7	1	4.48	0		9.72	90.3	blast;92.80 iPHoP-RF;60.60
d__Archaea;p__Aenigmatarchaeota_A;c__Aenigmatarchaeia_A;o__GW2011-AR5;f__;g__	ELSC_Mariner_131-447_vRhyme_bin_66	15243	18243	Low-quality	No	22	4	24.41	0		4.53	92.3	blast;94.50 iPHoP-RF;60.60
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Aciduliprofundales;f__Aciduliprofundaceae;g__	Brothers_LC_S016_vRhyme_bin_125	17791	23791	Low-quality	No	27	2	12.86	0		9.1	91.6	blast;93.90 iPHoP-RF;69.10
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Aciduliprofundales;f__Aciduliprofundaceae;g__	ELSC_Abe_A1_vRhyme_bin_44	48236	57236	Medium-quality	No	58	11	54.53	0		9.13	91.6	blast;93.90 iPHoP-RF;59.80
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Aciduliprofundales;f__Aciduliprofundaceae;g__	ELSC_Abe_A3_vRhyme_bin_12	6622	8122	Low-quality	No	12	3	17.4	0		4.88	91	blast;93.40 iPHoP-RF;67.70
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Aciduliprofundales;f__Aciduliprofundaceae;g__	Brothers_NWCA_S142_NODE_287_length_24655_cov_2.973133	24655	24655	Low-quality	No	34	2	31.27	0		2.63	91.6	blast;93.90 iPHoP-RF;81.60
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Aciduliprofundales;f__Aciduliprofundaceae;g__	Brothers_NWCA_S145_NODE_4539_length_7858_cov_2.011771	7858	7858	Low-quality	No	16	1	5.77	0		2.56	91.1	blast;93.50 iPHoP-RF;67.00
d__Archaea;p__Thermoproteota;c__Korarchaeia;o__Korarchaeales;f__Korarchaeaceae;g__	ELSC_Abe_A1_vRhyme_bin_86	40884	43884	Low-quality	No	65	4	41.78	0		5.1	91.7	blast;94.00 iPHoP-RF;66.00
d__Archaea;p__Thermoproteota;c__Korarchaeia;o__Korarchaeales;f__Korarchaeaceae;g__	ELSC_Tui_Malila_T2_vRhyme_bin_153	15960	18960	Low-quality	No	23	2	6.25	0		4.7	91.6	blast;93.90 iPHoP-RF;65.10
d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__UBA10214;f__UBA10214;g__	Brothers_LC_S016_NODE_52_length_54731_cov_3.773954	54731	54731	High-quality	No	77	8	100	0		9.6	91.4	blast;93.70 iPHoP-RF;61.10
d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Geoglobus	Brothers_NWCB_S139_vRhyme_bin_127	37321	43321	Low-quality	No	81	2	48.63	0		1.98	92.3	blast;94.50 iPHoP-RF;90.80
d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Geoglobus	Brothers_NWCB_S140_vRhyme_bin_93	20000	24500	Medium-quality	No	25	8	66.16	0		7.67	90	blast;92.50
d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Geoglobus	ELSC_Abe_128-326_vRhyme_bin_15	64062	74562	High-quality	No	106	11	90.44	0		7.02	90.4	blast;92.90 iPHoP-RF;85.10
d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Geoglobus	ELSC_Abe_128-326_vRhyme_bin_16	28865	31865	Low-quality	No	32	5	47.19	0		10.92	91.6	blast;93.90 iPHoP-RF;52.80
d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Geoglobus	ELSC_Abe_128-326_vRhyme_bin_21	35154	41154	Low-quality	No	59	14	47.32	0		6.77	90.2	blast;92.70 iPHoP-RF;64.80
d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Geoglobus	ELSC_Abe_128-326_vRhyme_bin_64	8059	9559	Low-quality	No	19	2	5.94	0		3.21	94.3	blast;96.00 iPHoP-RF;76.40
d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Geoglobus	ELSC_Bowl_M2_NODE_7092_length_11946_cov_2.561976	11946	11946	Low-quality	No	20	1	17.94	0		1.97	91.1	blast;93.50 iPHoP-RF;60.90
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Pyrodictiaceae;g__	ELSC_Abe_A1_vRhyme_bin_47	64885	67885	High-quality	Yes	85	20	91.74	8.28		13.74	94.2	CRISPR;95.90
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Pyrodictiaceae;g__	ELSC_Tui_Malila_T11_vRhyme_bin_101	9759	11259	Low-quality	No	12	1	3.25	0		3.45	91.8	blast;94.10 iPHoP-RF;80.30
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Pyrodictiaceae;g__	ELSC_Tui_Malila_T11_vRhyme_bin_108	19387	22387	Low-quality	No	35	1	30.46	0		1.42	94.7	CRISPR;96.30 blast;94.40 iPHoP-RF;93.40
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Pyrodictiaceae;g__	ELSC_Tui_Malila_T11_vRhyme_bin_111	32710	34210	Low-quality	No	58	1	20.22	0		1.96	91.8	CRISPR;94.10 iPHoP-RF;91.80 blast;91.20
