user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	"other_related_references(genome_id,species_name,radius,ANI,AF)"	msa_percent	translation_table	red_value	warnings
Brothers_S012_metabat2_036	d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__	taxonomic classification defined by topology and ANI	N/A	"GCF_000585495.1, s__Thermococcus nautili, 95.0, 82.4, 0.74; GCF_012027635.1, s__Thermococcus sp012027635, 95.0, 82.31, 0.78; GCF_900198835.1, s__Thermococcus sp900198835, 95.0, 81.81, 0.74; GCF_000769655.1, s__Thermococcus eurythermalis, 95.0, 80.49, 0.62; GCF_000022365.1, s__Thermococcus gammatolerans, 95.0, 80.3, 0.48; GCF_000151205.2, s__Thermococcus sp000151205, 95.0, 80.2, 0.57; GCF_000816105.1, s__Thermococcus guaymasensis, 95.0, 79.73, 0.47; GCF_002214385.1, s__Thermococcus gorgonarius, 95.0, 79.67, 0.45; GCF_000265525.1, s__Thermococcus cleftensis, 95.0, 79.61, 0.5; GCF_002214485.1, s__Thermococcus pacificus, 95.0, 79.44, 0.46; GCF_000009965.1, s__Thermococcus kodakarensis, 95.0, 79.25, 0.45; GCF_001592435.1, s__Thermococcus peptonophilus, 95.0, 79.22, 0.46; GCF_012027615.1, s__Thermococcus sp012027615, 95.0, 79.06, 0.46; GCF_002214565.1, s__Thermococcus radiotolerans, 95.0, 78.96, 0.43; GCF_000258515.1, s__Thermococcus zilligii, 95.0, 78.83, 0.4; GCF_002214505.1, s__Thermococcus siculi, 95.0, 78.8, 0.43; GCF_002214465.1, s__Thermococcus barossii, 95.0, 78.77, 0.44; GCF_012027495.1, s__Thermococcus sp012027495, 95.0, 78.75, 0.46; GCF_000221185.1, s__Thermococcus sp000221185, 95.0, 78.75, 0.43; GCF_012027645.1, s__Thermococcus sp012027645, 95.0, 78.74, 0.42; GCF_002214545.1, s__Thermococcus thioreducens, 95.0, 78.73, 0.43; GCF_006274605.1, s__Thermococcus sp006274605, 95.0, 78.65, 0.45; GCF_001484195.1, s__Thermococcus celericrescens, 95.0, 78.62, 0.4; GCF_002214585.1, s__Thermococcus profundus, 95.0, 78.57, 0.39; GCF_904067545.1, s__Thermococcus sp904067545, 95.0, 78.57, 0.45; GCF_012027555.1, s__Thermococcus sp012027555, 95.0, 78.56, 0.37; GCF_000018365.1, s__Thermococcus onnurineus, 95.0, 78.56, 0.36; GCF_012027305.1, s__Thermococcus sp012027305, 95.0, 78.55, 0.44; GCA_011050175.1, s__Thermococcus sp011050175, 95.0, 78.47, 0.48; GCF_012027355.1, s__Thermococcus sp012027355, 95.0, 78.47, 0.42; GCF_012027395.1, s__Thermococcus sp012027395, 95.0, 78.35, 0.39; GCF_001647085.1, s__Thermococcus piezophilus, 95.0, 78.21, 0.35; GCF_002214365.1, s__Thermococcus celer, 95.0, 78.19, 0.4; GCF_012027595.1, s__Thermococcus sp012027595, 95.0, 78.18, 0.37; GCA_013153595.1, s__Thermococcus sp013153595, 95.0, 77.66, 0.26; GCF_002214525.1, s__Thermococcus sp002214525, 95.0, 77.54, 0.27"	90.2	11	0.960159343	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Brothers_S012_metabat2_039	d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__;c__;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	65.83	11	0.318617835	N/A
Brothers_S012_metabat2_048	d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__	N/A	N/A	N/A	N/A	N/A	GCF_002214545.1	95	d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus thioreducens	86.78	0.92	d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__	taxonomic classification defined by topology and ANI	N/A	"GCF_002214565.1, s__Thermococcus radiotolerans, 95.0, 84.66, 0.88; GCF_012027615.1, s__Thermococcus sp012027615, 95.0, 84.12, 0.87; GCF_012027305.1, s__Thermococcus sp012027305, 95.0, 83.64, 0.87; GCF_012027645.1, s__Thermococcus sp012027645, 95.0, 83.45, 0.81; GCF_002214465.1, s__Thermococcus barossii, 95.0, 82.96, 0.85; GCF_001484195.1, s__Thermococcus celericrescens, 95.0, 82.81, 0.82; GCF_012027355.1, s__Thermococcus sp012027355, 95.0, 82.68, 0.8; GCF_000221185.1, s__Thermococcus sp000221185, 95.0, 82.67, 0.8; GCF_006274605.1, s__Thermococcus sp006274605, 95.0, 82.62, 0.79; GCF_012027495.1, s__Thermococcus sp012027495, 95.0, 82.24, 0.79; GCF_904067545.1, s__Thermococcus sp904067545, 95.0, 82.2, 0.81; GCF_002214365.1, s__Thermococcus celer, 95.0, 81.24, 0.73; GCA_011050175.1, s__Thermococcus sp011050175, 95.0, 81.04, 0.49; GCF_000265525.1, s__Thermococcus cleftensis, 95.0, 80.95, 0.76; GCF_002214505.1, s__Thermococcus siculi, 95.0, 80.79, 0.74; GCF_002214485.1, s__Thermococcus pacificus, 95.0, 80.32, 0.63; GCF_000769655.1, s__Thermococcus eurythermalis, 95.0, 79.94, 0.53; GCF_012027395.1, s__Thermococcus sp012027395, 95.0, 79.9, 0.64; GCF_000816105.1, s__Thermococcus guaymasensis, 95.0, 79.62, 0.46; GCF_012027555.1, s__Thermococcus sp012027555, 95.0, 79.38, 0.63; GCF_002214385.1, s__Thermococcus gorgonarius, 95.0, 79.33, 0.45; GCF_900198835.1, s__Thermococcus sp900198835, 95.0, 79.32, 0.54; GCF_000018365.1, s__Thermococcus onnurineus, 95.0, 79.11, 0.6; GCF_000585495.1, s__Thermococcus nautili, 95.0, 79.02, 0.58; GCF_000009965.1, s__Thermococcus kodakarensis, 95.0, 78.99, 0.48; GCF_001647085.1, s__Thermococcus piezophilus, 95.0, 78.97, 0.53; GCF_012027635.1, s__Thermococcus sp012027635, 95.0, 78.95, 0.55; GCF_002214585.1, s__Thermococcus profundus, 95.0, 78.94, 0.51; GCF_000151205.2, s__Thermococcus sp000151205, 95.0, 78.8, 0.49; GCF_002214525.1, s__Thermococcus sp002214525, 95.0, 78.79, 0.54; GCF_001592435.1, s__Thermococcus peptonophilus, 95.0, 78.77, 0.44; GCF_000258515.1, s__Thermococcus zilligii, 95.0, 78.41, 0.44; GCF_000022365.1, s__Thermococcus gammatolerans, 95.0, 78.15, 0.47; GCF_012027595.1, s__Thermococcus sp012027595, 95.0, 77.95, 0.38"	48.61	11	0.962477642	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Brothers_S012_metabat2_050	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__Aeropyrum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	69.71	11	0.825955465	N/A
Brothers_S012_metabat2_078	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	85.77	11	0.77303722	N/A
Brothers_S012_metabat2_099	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__Aeropyrum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	67.6	11	0.892568789	N/A
Brothers_S012_metabat2_122	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	84.89	11	0.69858965	N/A
Brothers_S012_metabat2_127	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	45	11	0.572379975	N/A
Brothers_S012_metabat2_136	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__Aeropyrum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	69.57	11	0.832514286	N/A
Brothers_S012_metabat2_204	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	89.11	11	0.791992665	N/A
Brothers_S013_maxbin2_010_VB	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Aciduliprofundales;f__Aciduliprofundaceae;g__Aciduliprofundum;s__Aciduliprofundum boonei	GCF_000025665.1	95	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Aciduliprofundales;f__Aciduliprofundaceae;g__Aciduliprofundum;s__Aciduliprofundum boonei	95.45	0.96	GCF_000025665.1	95	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Aciduliprofundales;f__Aciduliprofundaceae;g__Aciduliprofundum;s__Aciduliprofundum boonei	95.45	0.96	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Aciduliprofundales;f__Aciduliprofundaceae;g__Aciduliprofundum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCF_000327505.1, s__Aciduliprofundum sp000327505, 95.0, 76.76, 0.25"	76.5	11	N/A	N/A
Brothers_S013_maxbin2_025	d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__	N/A	N/A	N/A	N/A	N/A	GCF_002214485.1	95	d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus pacificus	79.63	0.43	d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__	taxonomic classification defined by topology and ANI	N/A	"GCF_001484195.1, s__Thermococcus celericrescens, 95.0, 79.3, 0.38; GCF_012027645.1, s__Thermococcus sp012027645, 95.0, 79.23, 0.37; GCF_002214505.1, s__Thermococcus siculi, 95.0, 79.22, 0.46; GCF_000221185.1, s__Thermococcus sp000221185, 95.0, 79.2, 0.39; GCF_002214385.1, s__Thermococcus gorgonarius, 95.0, 79.04, 0.31; GCF_006274605.1, s__Thermococcus sp006274605, 95.0, 78.96, 0.41; GCF_012027495.1, s__Thermococcus sp012027495, 95.0, 78.72, 0.39; GCF_012027355.1, s__Thermococcus sp012027355, 95.0, 78.69, 0.31; GCF_002214565.1, s__Thermococcus radiotolerans, 95.0, 78.6, 0.41; GCF_000258515.1, s__Thermococcus zilligii, 95.0, 78.59, 0.27; GCF_012027595.1, s__Thermococcus sp012027595, 95.0, 78.55, 0.29; GCF_002214465.1, s__Thermococcus barossii, 95.0, 78.54, 0.32; GCF_904067545.1, s__Thermococcus sp904067545, 95.0, 78.5, 0.38; GCF_002214365.1, s__Thermococcus celer, 95.0, 78.47, 0.38; GCF_012027305.1, s__Thermococcus sp012027305, 95.0, 78.44, 0.4; GCF_000265525.1, s__Thermococcus cleftensis, 95.0, 78.44, 0.39; GCF_012027395.1, s__Thermococcus sp012027395, 95.0, 78.39, 0.3; GCF_000585495.1, s__Thermococcus nautili, 95.0, 78.36, 0.36; GCA_011050175.1, s__Thermococcus sp011050175, 95.0, 78.35, 0.22; GCF_002214545.1, s__Thermococcus thioreducens, 95.0, 78.3, 0.38; GCF_012027615.1, s__Thermococcus sp012027615, 95.0, 78.29, 0.4; GCF_900198835.1, s__Thermococcus sp900198835, 95.0, 78.17, 0.34; GCF_000018365.1, s__Thermococcus onnurineus, 95.0, 78.16, 0.28; GCF_002214585.1, s__Thermococcus profundus, 95.0, 78.14, 0.33; GCF_012027635.1, s__Thermococcus sp012027635, 95.0, 78.08, 0.37; GCF_000009965.1, s__Thermococcus kodakarensis, 95.0, 78.07, 0.25; GCF_000816105.1, s__Thermococcus guaymasensis, 95.0, 78.04, 0.31; GCF_000022365.1, s__Thermococcus gammatolerans, 95.0, 78.02, 0.32; GCF_012027555.1, s__Thermococcus sp012027555, 95.0, 77.99, 0.27; GCF_001647085.1, s__Thermococcus piezophilus, 95.0, 77.94, 0.23; GCF_000151205.2, s__Thermococcus sp000151205, 95.0, 77.94, 0.34; GCF_000769655.1, s__Thermococcus eurythermalis, 95.0, 77.66, 0.35; GCF_001592435.1, s__Thermococcus peptonophilus, 95.0, 77.52, 0.28; GCF_002214525.1, s__Thermococcus sp002214525, 95.0, 77.24, 0.24"	52.71	11	0.947090158	N/A
Brothers_S013_maxbin2_030	d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__	N/A	N/A	N/A	N/A	N/A	GCF_012027595.1	95	d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus sp012027595	83.19	0.69	d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__	taxonomic classification defined by topology and ANI	N/A	"GCF_002214485.1, s__Thermococcus pacificus, 95.0, 82.24, 0.54; GCF_002214385.1, s__Thermococcus gorgonarius, 95.0, 81.54, 0.6; GCF_000258515.1, s__Thermococcus zilligii, 95.0, 80.98, 0.57; GCF_002214505.1, s__Thermococcus siculi, 95.0, 80.72, 0.47; GCF_002214585.1, s__Thermococcus profundus, 95.0, 80.46, 0.54; GCF_000221185.1, s__Thermococcus sp000221185, 95.0, 80.29, 0.43; GCF_002214565.1, s__Thermococcus radiotolerans, 95.0, 80.21, 0.45; GCF_006274605.1, s__Thermococcus sp006274605, 95.0, 80.17, 0.45; GCF_002214465.1, s__Thermococcus barossii, 95.0, 80.08, 0.45; GCF_012027615.1, s__Thermococcus sp012027615, 95.0, 80.06, 0.42; GCF_012027645.1, s__Thermococcus sp012027645, 95.0, 80.05, 0.45; GCF_012027355.1, s__Thermococcus sp012027355, 95.0, 80.03, 0.41; GCF_001484195.1, s__Thermococcus celericrescens, 95.0, 79.92, 0.41; GCF_000009965.1, s__Thermococcus kodakarensis, 95.0, 79.88, 0.41; GCF_904067545.1, s__Thermococcus sp904067545, 95.0, 79.86, 0.42; GCF_000151205.2, s__Thermococcus sp000151205, 95.0, 79.85, 0.5; GCF_012027495.1, s__Thermococcus sp012027495, 95.0, 79.82, 0.44; GCF_012027305.1, s__Thermococcus sp012027305, 95.0, 79.81, 0.44; GCF_000265525.1, s__Thermococcus cleftensis, 95.0, 79.77, 0.46; GCF_000816105.1, s__Thermococcus guaymasensis, 95.0, 79.71, 0.48; GCF_002214545.1, s__Thermococcus thioreducens, 95.0, 79.66, 0.38; GCA_011050175.1, s__Thermococcus sp011050175, 95.0, 79.64, 0.53; GCF_000585495.1, s__Thermococcus nautili, 95.0, 79.64, 0.46; GCF_000022365.1, s__Thermococcus gammatolerans, 95.0, 79.64, 0.49; GCF_001592435.1, s__Thermococcus peptonophilus, 95.0, 79.57, 0.45; GCF_012027635.1, s__Thermococcus sp012027635, 95.0, 79.54, 0.48; GCF_900198835.1, s__Thermococcus sp900198835, 95.0, 79.47, 0.46; GCF_002214365.1, s__Thermococcus celer, 95.0, 79.38, 0.43; GCF_000769655.1, s__Thermococcus eurythermalis, 95.0, 79.36, 0.45; GCF_012027555.1, s__Thermococcus sp012027555, 95.0, 79.12, 0.41; GCF_012027395.1, s__Thermococcus sp012027395, 95.0, 78.84, 0.38; GCF_001647085.1, s__Thermococcus piezophilus, 95.0, 78.61, 0.36; GCF_000018365.1, s__Thermococcus onnurineus, 95.0, 78.56, 0.37; GCA_013153595.1, s__Thermococcus sp013153595, 95.0, 78.13, 0.33; GCF_002214525.1, s__Thermococcus sp002214525, 95.0, 78.07, 0.37"	97.83	11	0.97224504	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
