user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	"other_related_references(genome_id,species_name,radius,ANI,AF)"	msa_percent	translation_table	red_value	warnings
Axial_Plume_UWMA-0822	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__UWMA-0277;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__UWMA-0277;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCA_905478185.1, s__UWMA-0277 sp905478185, 95.0, 93.77, 0.859; GCA_905479165.1, s__UWMA-0277 sp905479165, 95.0, 91.56, 0.759; GCA_905478765.1, s__UWMA-0277 sp905478765, 95.0, 91.42, 0.828; GCA_018664745.1, s__UWMA-0277 sp018664745, 95.0, 81.66, 0.503; GCA_014384505.1, s__UWMA-0277 sp014384505, 95.0, 80.85, 0.555; GCA_012960805.1, s__UWMA-0277 sp012960805, 95.0, 80.46, 0.566; GCA_018645865.1, s__UWMA-0277 sp018645865, 95.0, 80.36, 0.445; GCA_905181635.1, s__UWMA-0277 sp905181635, 95.0, 80.17, 0.373; GCA_905182255.1, s__UWMA-0277 sp905182255, 95.0, 79.85, 0.337; GCA_905612305.1, s__UWMA-0277 sp905612305, 95.0, 79.83, 0.405"	76.03	11	0.97206	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Axial_Plume_UWMA-0823	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__UBA1096;s__	N/A	N/A	N/A	N/A	N/A	GCA_015658765.1	95	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__UBA1096;s__UBA1096 sp015658765	94.97	0.683	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__UBA1096;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCA_018674955.1, s__UBA1096 sp018674955, 95.0, 91.94, 0.889; GCA_002299785.1, s__UBA1096 sp002299785, 95.0, 90.53, 0.699; GCA_003972865.1, s__UBA1096 sp003972865, 95.0, 88.21, 0.758; GCA_913030945.1, s__UBA1096 sp913030945, 95.0, 84.93, 0.846; GCA_014382705.1, s__UBA1096 sp014382705, 95.0, 84.8, 0.912; GCA_913045395.1, s__UBA1096 sp913045395, 95.0, 84.73, 0.598; GCA_022451065.1, s__UBA1096 sp022451065, 95.0, 84.57, 0.83; GCA_002686755.1, s__UBA1096 sp002686755, 95.0, 82.93, 0.794; GCA_011523195.1, s__UBA1096 sp011523195, 95.0, 78.6, 0.435; GCA_002453165.1, s__UBA1096 sp002453165, 95.0, 78.51, 0.562; GCA_002689335.1, s__UBA1096 sp002689335, 95.0, 77.71, 0.32; GCA_913050205.1, s__UBA1096 sp913050205, 95.0, 77.61, 0.297; GCA_002721375.1, s__UBA1096 sp002721375, 95.0, 77.09, 0.239; GCA_002684915.1, s__UBA1096 sp002684915, 95.0, 75.7, 0.02; GCA_002708005.1, s__UBA1096 sp002708005, 95.0, 75.28, 0.013; GCA_004213515.1, s__UBA1096 sp002170545, 95.0, 75.25, 0.023"	53.96	11	0.98789	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Axial_Plume_UWMA-0824	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__UBA9145 sp002694855	GCA_002694855.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__UBA9145 sp002694855	96.9	0.77	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
Axial_Plume_UWMA-0825	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__UWMA-0277;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__UWMA-0277;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCA_012960805.1, s__UWMA-0277 sp012960805, 95.0, 81.34, 0.58; GCA_905478185.1, s__UWMA-0277 sp905478185, 95.0, 81.17, 0.587; GCA_905478765.1, s__UWMA-0277 sp905478765, 95.0, 80.38, 0.544; GCA_018664745.1, s__UWMA-0277 sp018664745, 95.0, 80.31, 0.566; GCA_905612305.1, s__UWMA-0277 sp905612305, 95.0, 80.15, 0.536; GCA_014384505.1, s__UWMA-0277 sp014384505, 95.0, 80.05, 0.6; GCA_905479165.1, s__UWMA-0277 sp905479165, 95.0, 80.05, 0.49; GCA_018645865.1, s__UWMA-0277 sp018645865, 95.0, 79.83, 0.479; GCA_905181635.1, s__UWMA-0277 sp905181635, 95.0, 79.27, 0.443; GCA_905182255.1, s__UWMA-0277 sp905182255, 95.0, 79.02, 0.404"	90.96	11	0.93279	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Axial_Plume_UWMA-0826	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__OPU3-GD-OMZ;s__OPU3-GD-OMZ sp001901525	GCA_001901525.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__OPU3-GD-OMZ;s__OPU3-GD-OMZ sp001901525	96.57	0.897	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
Axial_Seawater_UWMA-0827	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__UBA9410;s__UBA9410 sp012961035	GCA_012961035.1	95	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__UBA9410;s__UBA9410 sp012961035	98.73	0.884	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
Axial_Seawater_UWMA-0828	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__S20-B6;s__S20-B6 sp002699725	GCA_002699725.1	95	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__S20-B6;s__S20-B6 sp002699725	97.11	0.918	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
Axial_Seawater_UWMA-0830	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__Thioglobus_C;s__Thioglobus_C sp003489145	GCA_003489145.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__Thioglobus_C;s__Thioglobus_C sp003489145	98.49	0.911	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
Axial_Seawater_UWMA-0831	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax;s__Alcanivorax sp014762765	GCA_014762765.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax;s__Alcanivorax sp014762765	98.88	0.826	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
Axial_Seawater_UWMA-0832	d__Bacteria;p__Planctomycetota;c__UBA8108;o__UBA1146;f__UBA1146;g__QNYK01;s__QNYK01 sp003973385	GCA_003973385.1	95	d__Bacteria;p__Planctomycetota;c__UBA8108;o__UBA1146;f__UBA1146;g__QNYK01;s__QNYK01 sp003973385	96.7	0.865	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
Axial_Seawater_UWMA-0833	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax;s__Alcanivorax venustensis	GCF_015356855.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax;s__Alcanivorax venustensis	96.95	0.912	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
Brothers_S009_maxbin2_002	d__Bacteria;p__Pseudomonadota;c__Zetaproteobacteria;o__Mariprofundales;f__Mariprofundaceae;g__Mariprofundus;s__	N/A	N/A	N/A	N/A	N/A	GCA_015485035.1	95	d__Bacteria;p__Pseudomonadota;c__Zetaproteobacteria;o__Mariprofundales;f__Mariprofundaceae;g__Mariprofundus;s__Mariprofundus sp015485035	92.54	0.772	d__Bacteria;p__Pseudomonadota;c__Zetaproteobacteria;o__Mariprofundales;f__Mariprofundaceae;g__Mariprofundus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCA_021545665.1, s__Mariprofundus sp021545665, 95.0, 78.39, 0.14; GCA_913056285.1, s__Mariprofundus sp913056285, 95.0, 78.29, 0.281; GCF_002795825.1, s__Mariprofundus ferrinatatus, 95.0, 77.29, 0.096; GCF_002795805.1, s__Mariprofundus aestuarium, 95.0, 77.11, 0.184; GCF_013387475.1, s__Mariprofundus sp013387475, 95.0, 77.07, 0.167; GCA_021772775.1, s__Mariprofundus sp021772775, 95.0, 76.91, 0.123; GCF_000153765.1, s__Mariprofundus ferrooxydans, 95.0, 76.78, 0.149; GCF_003665155.1, s__Mariprofundus sp003665155, 95.0, 76.76, 0.132; GCA_021772835.1, s__Mariprofundus sp021772835, 95.0, 76.75, 0.149; GCF_001895085.1, s__Mariprofundus micogutta, 95.0, 76.73, 0.202; GCA_021772845.1, s__Mariprofundus sp021772845, 95.0, 76.63, 0.105; GCF_013387455.1, s__Mariprofundus sp013387455, 95.0, 76.56, 0.158; GCA_001871925.1, s__Mariprofundus sp001871925, 95.0, 76.55, 0.175; GCA_002791575.1, s__Mariprofundus sp002791575, 95.0, 76.32, 0.228; GCF_005818865.1, s__Mariprofundus erugo, 95.0, 76.1, 0.184"	47.29	11	0.99396	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Brothers_S009_maxbin2_006	d__Bacteria;p__Nitrospirota;c__9FT-COMBO-42-15;o__HDB-SIOI813;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Nitrospirota;c__9FT-COMBO-42-15;o__HDB-SIOI813;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	49.65	11	0.6947	N/A
Brothers_S009_maxbin2_018	d__Bacteria;p__Desulfobacterota_F;c__;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota_F;c__;o__;f__;g__;s__	N/A	classification based on placement in backbone tree	N/A	47.31	11	0.42872	N/A
Brothers_S009_maxbin2_031_VB	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__Sulfurimonas sp015488615	GCA_015488615.1	95	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__Sulfurimonas sp015488615	99.33	0.805	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
Brothers_S009_maxbin2_036	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	44.95	11	0.80498	N/A
Brothers_S009_maxbin2_061	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__CAITKP01;s__CAITKP01 sp015489055	GCA_015489055.1	95	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__CAITKP01;s__CAITKP01 sp015489055	98.85	0.688	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
Brothers_S009_metabat2_004	d__Bacteria;p__Pseudomonadota;c__Zetaproteobacteria;o__Mariprofundales;f__Mariprofundaceae;g__Mariprofundus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Zetaproteobacteria;o__Mariprofundales;f__Mariprofundaceae;g__Mariprofundus;s__	ANI	classification based on placement in class-level tree	"GCF_000153765.1, s__Mariprofundus ferrooxydans, 95.0, 78.78, 0.057; GCF_002795825.1, s__Mariprofundus ferrinatatus, 95.0, 78.51, 0.094; GCA_002791575.1, s__Mariprofundus sp002791575, 95.0, 78.0, 0.088; GCF_013387455.1, s__Mariprofundus sp013387455, 95.0, 77.76, 0.094; GCF_001895085.1, s__Mariprofundus micogutta, 95.0, 77.54, 0.132; GCA_021772775.1, s__Mariprofundus sp021772775, 95.0, 77.49, 0.088; GCA_021772835.1, s__Mariprofundus sp021772835, 95.0, 77.19, 0.138; GCF_002795805.1, s__Mariprofundus aestuarium, 95.0, 77.16, 0.113; GCA_015485035.1, s__Mariprofundus sp015485035, 95.0, 77.14, 0.113; GCF_003665155.1, s__Mariprofundus sp003665155, 95.0, 77.13, 0.101; GCA_001871925.1, s__Mariprofundus sp001871925, 95.0, 76.77, 0.101; GCF_013387475.1, s__Mariprofundus sp013387475, 95.0, 76.75, 0.157; GCA_913056285.1, s__Mariprofundus sp913056285, 95.0, 76.25, 0.082; GCF_005818865.1, s__Mariprofundus erugo, 95.0, 76.22, 0.088; GCA_021545665.1, s__Mariprofundus sp021545665, 95.0, 75.9, 0.107; GCA_021772845.1, s__Mariprofundus sp021772845, 95.0, 75.12, 0.05"	58.09	11	0.89263	N/A
Brothers_S009_metabat2_015	d__Bacteria;p__CSSED10-310;c__CSSED10-310;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016932295.1	95	d__Bacteria;p__CSSED10-310;c__CSSED10-310;o__JAFGDC01;f__JAFGDC01;g__JAFGDC01;s__JAFGDC01 sp016932295	74.58	0.002	d__Bacteria;p__CSSED10-310;c__CSSED10-310;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	45.34	11	0.45851	N/A
